name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'training-07';0.370000;1.904048e+01;-1.936827e+01;-1.426068e+01;3.919131e+01;-1.373928e+01;-1.637813e+00;2.134796e+01;-3.338633e+01;1.164194e+00;-3.414887e+00;-2.733337e+01;-2.969467e+01;1.203561e+02;2.749161e+00;-2.109904e+00;-4.075002e+00;-4.824406e+00;1.823330e+00;5.394342e+00;2.344631e+00;2.069280e+00;6.287919e-01;3.539962e+00;1.525972e+00;-1.093493e+00;-3.195770e-01;2.559499e-01;2.259487e+00;2.238778e+00;-3.500372e-01;6.295064e-01;-1.509600e+00;-1.217197e+00;-4.533884e-01;-2.909113e+00;8.784999e-01;3.725126e+00;1.904681e+00;-1.923983e+00
'training-07';0.380000;1.863281e+01;-1.675618e+01;-1.319904e+01;2.968449e+01;-1.203297e+01;8.264780e+00;2.792907e+01;-3.007147e+01;3.126272e-01;1.743535e+00;-2.402579e+01;-2.490146e+01;1.178527e+02;2.914973e+00;7.977917e-01;-9.558128e-01;-4.560754e+00;2.116673e+00;1.554216e+00;1.040594e+00;2.579833e+00;-4.921756e+00;3.631373e+00;6.122187e+00;2.604005e+00;-3.027718e+00;-2.671891e-01;2.029329e+00;1.428263e+00;4.724546e-01;1.552116e+00;-2.441435e+00;-7.689930e-01;-1.955376e-01;-3.051473e+00;-1.029270e+00;1.899417e+00;1.351624e+00;-1.627690e+00
'training-07';0.390000;2.223056e+01;-1.558642e+01;-1.414369e+01;2.581649e+01;-5.334836e+00;2.538108e-01;3.179340e+01;-2.779419e+01;-6.702394e+00;1.960081e+00;-1.726816e+01;-2.176461e+01;1.136078e+02;2.029856e+00;1.985160e+00;-1.110981e+00;-3.492608e+00;6.869476e+00;-4.096951e-01;1.523937e-01;2.496228e+00;-7.133236e+00;2.195169e-01;5.770144e+00;2.492882e+00;-4.252579e+00;-4.985349e-01;9.195056e-01;6.365193e-01;7.930300e-01;1.000844e+00;-1.275710e+00;-7.837340e-01;-2.078527e-01;-1.420531e+00;-2.148933e+00;-4.186950e-01;8.763139e-01;-7.299623e-01
'training-07';0.400000;2.699205e+01;-1.541239e+01;-1.714654e+01;2.850483e+01;1.859532e+00;-3.033156e+00;2.365509e+01;-2.310424e+01;-2.111435e+01;5.701090e-01;-7.067416e+00;-1.667619e+01;1.078209e+02;1.606556e+00;2.311542e+00;-2.055410e+00;-2.207241e+00;7.746908e+00;-1.567755e+00;-3.074902e-01;1.529991e+00;-7.710022e+00;-2.744685e+00;3.304179e+00;2.009158e+00;-4.010472e+00;-8.701185e-01;4.643102e-01;6.943527e-01;5.217531e-01;-3.551579e-01;1.230764e-03;-5.885236e-01;-3.543664e-01;8.398881e-01;-1.777359e+00;-1.562037e+00;5.203332e-01;-4.338400e-02
'training-07';0.410000;2.501014e+01;-1.011436e+01;-1.784183e+01;2.231810e+01;1.366185e+01;1.962679e+00;2.424692e+01;-2.438880e+01;-2.378850e+01;-1.730590e+00;-6.961835e+00;-2.134289e+01;1.041091e+02;9.106954e-01;1.730749e+00;-3.426067e-01;-2.036012e+00;4.012432e+00;5.767789e-01;-8.999969e-01;1.554938e+00;-5.079729e+00;-4.016673e+00;8.415009e-01;3.585501e+00;-3.478011e+00;-1.224594e+00;1.398018e-01;1.345705e+00;4.577731e-01;-1.735884e+00;7.767193e-01;-7.091370e-01;1.279117e-01;2.401227e+00;1.050166e-01;-8.021700e-01;1.080440e+00;-1.188226e-02
'training-07';0.420000;2.527580e+01;-7.934503e+00;-2.162702e+01;2.039748e+01;1.720322e+01;-4.284316e-01;3.016486e+01;-2.412421e+01;-2.969443e+01;-1.013455e+01;-1.265806e+01;-1.506653e+01;1.025497e+02;-8.760389e-01;3.246548e+00;2.131763e+00;-2.680286e+00;1.769406e+00;1.067133e+00;-1.375829e+00;1.278646e+00;-1.749069e+00;-3.137330e+00;7.763251e-01;4.659362e+00;-3.631921e+00;-1.617708e+00;-1.676903e-01;1.262990e+00;3.168621e-01;-1.477755e+00;1.341191e+00;-4.360653e-01;8.878430e-01;3.489476e+00;2.015206e+00;7.731999e-01;6.508951e-01;-3.439843e-01
'training-07';0.430000;2.764216e+01;-1.067162e+01;-1.361648e+01;1.969010e+01;7.055479e+00;1.835343e+00;2.403853e+01;-1.950952e+01;-2.781100e+01;-1.277095e+01;-1.026533e+01;-4.641938e+00;9.885334e+01;-2.851817e+00;2.216666e+00;3.523957e+00;-9.672197e-01;1.178804e+00;2.156457e+00;-2.859122e+00;3.261459e+00;1.892425e+00;9.409224e-01;3.023221e+00;6.569982e+00;-4.501266e+00;-1.606525e+00;-4.464266e-01;2.559523e-01;3.647548e-01;-3.532878e-01;1.217910e+00;-5.990381e-02;5.678009e-01;2.838356e+00;2.646916e+00;1.375420e+00;-9.118805e-01;-4.439831e-01
'training-07';0.440000;2.129584e+01;1.098983e+00;-8.600399e+00;1.641740e+01;1.400975e+01;2.366177e+00;1.688014e+01;-1.915065e+01;-2.784844e+01;-9.596357e+00;-1.534042e+00;-1.729855e+00;9.228913e+01;-4.600730e+00;1.230132e+00;2.326258e+00;-1.157327e+00;1.774949e+00;4.348360e+00;-1.508254e+00;5.115945e+00;6.251281e+00;4.852546e+00;6.079318e+00;3.771393e+00;-5.218767e+00;-2.119002e-02;-5.138518e-02;1.437642e-01;3.195671e-01;-1.161600e+00;-3.127972e-01;-9.988486e-01;-8.529709e-01;1.004909e+00;1.085965e+00;-4.403746e-02;-2.299099e+00;2.273340e-01
'training-07';0.450000;1.274103e+01;-3.547776e+00;-6.735353e+00;1.947204e+01;2.115261e+01;1.134766e+01;1.659367e+01;-1.056829e+01;-1.524937e+01;2.704924e+00;2.592257e+00;4.838680e+00;8.673307e+01;-5.259584e+00;5.068241e-01;8.399072e-01;-9.737179e-01;2.243221e+00;5.025715e+00;-1.133303e+00;2.475292e+00;5.111875e+00;5.222968e+00;5.067106e+00;-5.299171e-01;-4.904504e+00;2.353148e+00;1.707954e+00;7.900519e-01;-5.743054e-01;-2.989607e+00;-2.454879e+00;-1.895173e+00;-2.150958e+00;-1.220313e+00;-1.095106e+00;-1.625402e+00;-3.041512e+00;1.366603e+00
'training-07';0.460000;9.722713e+00;-5.345767e+00;-1.343629e+01;1.471988e+01;1.902940e+01;1.655721e+01;2.634602e+01;-3.015097e+00;-4.718836e+00;6.390237e+00;1.130973e+01;-9.498745e-01;8.251601e+01;2.218944e-01;3.844543e+00;4.192609e+00;-1.079202e+00;-4.570801e+00;-1.931482e+00;-7.232982e+00;-2.593126e+00;1.665751e+00;1.514716e-01;-4.658046e-01;-3.286183e+00;-2.293632e+00;3.554710e+00;2.771583e+00;1.798684e+00;-4.541391e-01;-3.493371e+00;-3.906865e+00;-2.153949e+00;-1.482064e+00;-1.701137e+00;-1.564893e+00;-2.158475e+00;-1.488894e+00;2.027905e+00
